RXF393	ACHN	UO-31	NCI-H226	NCI-H322M	UACC-257	SK-MEL-2	A549	UACC-62	HOP 92	EKVX	NCI-H23	HOP 62	HCC2998	HCT-15	COLO 205	SNB-19	SW-620	KM12	HT-29	HCT-116	TK-10	SN12C	HL-60(TB)	CCRF-CEM	786-0	CAKI-1	A498	PC-3	SK-MEL-28	SK-MEL-5	RPMI 8226	SR	K-562	MOLT-4	M14	MDA-MB-435	MALME-3M	LOX-IMVI	SK-OV-3	DU-145	NCI-H460	NCI-H522	IGR-OV1	NCI/ADR-RES	OVCAR-3	OVCAR-8	OVCAR-4	OVCAR-5	SNB-75	U251	HS-578T	BT-549	MDA-MB-231	MCF-7	SF-539	T-47D	SF-268	SF-295
5P_tRNA-Ala-AGC-1-1	4.82121264224322	4.31224001996388	0	0	0	0	0	0	7.95546851247278	0	0	0	6.2481766851706	0	0	5.14817632009443	0	0	0	5.26461017598867	7.29244348476966	0	0	0	4.14711580717588	0	4.81768782631636	5.03578141366379	0	0	6.38474879779117	5.14766910448229	7.85251774849373	4.96231835315136	0	4.30973516880555	0	0	0	4.37960113048283	0	0	0	5.07935572491309	0	0	4.26613405980777	7.41428567676214	0	7.07474212986077	8.3085921658219	5.10914623826512	0	3.36461945808204	6.98247768824594	5.06728289869606	0	0	0
5P_tRNA-Ala-AGC-10-1	4.82121264224322	0	5.78849286845042	0	7.13551753167803	0	0	0	7.95546851247278	0	7.46050789801765	6.55920099626688	0	0	0	5.14817632009443	7.69863323996027	8.3266596176968	5.31798536054297	0	0	4.00801182344413	0	0	0	0	4.81768782631636	0	0	0	0	0	6.85874638969144	0	4.96660202473128	0	0	0	6.18204847047257	0	0	0	0	0	0	0	0	5.84614017433962	5.19396597076141	6.08540463102311	0	0	0	3.36461945808204	6.98247768824594	0	0	0	0
5P_tRNA-Ala-AGC-11-1	0	4.31224001996388	4.8143610080013	0	7.13551753167803	0	0	6.95236359001907	7.95546851247278	0	0	6.55920099626688	0	5.58533407463231	0	0	0	7.33114629405471	0	0	0	4.9624658404336	7.11546193973144	0	0	0	0	5.03578141366379	0	0	0	0	0	0	5.53610193076937	0	0	0	0	0	0	0	0	0	0	0	2.82383737707661	0	0	6.08540463102311	0	0	0	4.29283117424774	6.98247768824594	0	0	0	0
5P_tRNA-Ala-AGC-12-3	0	4.31224001996388	5.78849286845042	0	0	0	0	0	0	6.28935707873887	0	0	0	0	0	0	0	0	0	5.26461017598867	0	0	0	0	4.14711580717588	0	4.81768782631636	0	0	0	0	0	0	0	4.01201964617332	0	0	0	0	0	5.33410710117128	0	0	4.12140816584521	0	0	2.82383737707661	5.84614017433962	4.23284981887206	0	0	0	0	0	0	0	0	0	0
5P_tRNA-Ala-AGC-2-2	0	4.31224001996388	0	0	0	0	0	0	0	0	0	6.55920099626688	0	0	0	0	0	0	0	0	0	0	0	0	5.10581680291084	0	5.7918798054421	0	5.41052474179241	0	0	0	0	0	4.01201964617332	0	0	0	0	0	0	0	6.17371866225589	0	0	0	2.82383737707661	5.84614017433962	0	6.08540463102311	0	4.15035138968771	0	3.36461945808204	0	0	0	0	0
5P_tRNA-Ala-AGC-3-1	0	6.25671968838299	4.8143610080013	7.29199698403476	0	0	0	0	0	0	9.45435151771181	0	7.82043033900964	0	0	7.11733635230599	7.69863323996027	0	6.29978803667852	5.26461017598867	7.29244348476966	4.9624658404336	0	0	5.67674600445607	5.92527054387858	6.77880057705721	7.80493810805451	0	5.13950719743702	0	5.14766910448229	0	0	4.01201964617332	0	5.80983676516216	12.6556677644527	6.18204847047257	0	6.89502759598648	0	0	5.07935572491309	0	0	4.66230394459321	0	6.17412384931066	8.65255226374326	0	7.24618882550538	6.77526638718071	3.36461945808204	0	0	0	0	0
5P_tRNA-Ala-AGC-5-1	0	0	0	0	7.13551753167803	0	0	0	0	0	0	0	0	0	6.0507454362995	0	8.69515669236099	9.32441103618262	0	0	0	4.9624658404336	7.11546193973144	0	4.14711580717588	0	0	6.01362220174587	0	0	0	0	6.85874638969144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19396597076141	7.07474212986077	10.3051754055332	4.15035138968771	0	0	0	5.06728289869606	8.80273158110123	0	0
5P_tRNA-Ala-CGC-4-1	5.79546816424908	5.27546487428144	9.1569992795951	0	0	0	0	0	8.95255948602296	0	0	6.55920099626688	0	5.58533407463231	7.03982269443784	5.71951349201756	9.2789584796884	7.33114629405471	6.29978803667852	0	7.29244348476966	5.53192111239347	7.11546193973144	6.55127701025265	6.40238584039503	0	6.77880057705721	8.45466693108824	0	5.13950719743702	0	5.71900146253311	9.17069570982672	5.53177203116807	6.9315751801566	4.30973516880555	5.80983676516216	0	0	0	5.33410710117128	6.90618616425955	0	7.04699192545396	6.05381034286533	5.61554674226876	3.71818228871362	0	5.76573075878442	8.87443244232253	10.626875428429	6.08809376458357	0	5.82787018992396	0	0	8.80273158110123	0	0
5P_tRNA-Ala-TGC-3-1	4.82121264224322	4.31224001996388	5.78849286845042	7.29199698403476	7.13551753167803	0	0	0	0	6.28935707873887	0	0	6.2481766851706	0	6.0507454362995	6.12768976514772	7.69863323996027	0	7.29060257066136	0	0	0	0	6.55127701025265	5.67674600445607	0	5.7918798054421	0	0	0	0	5.14766910448229	6.85874638969144	7.0957933048449	5.53610193076937	4.30973516880555	0	0	6.18204847047257	0	0	0	0	0	0	0	0	5.84614017433962	5.76573075878442	7.65613287951814	0	4.15035138968771	5.78837754987883	0	8.55981421409952	0	0	0	5.03191679950609
5P_tRNA-Ala-TGC-3-2	4.82121264224322	0	0	0	0	0	0	0	0	6.28935707873887	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99675723287257	0	0	0	0	0	0	0	0	0	4.00786891984203	0	4.30973516880555	0	0	0	0	0	5.9181646290821	0	0	0	0	0	0	0	7.07474212986077	0	4.15035138968771	0	4.29283117424774	6.98247768824594	0	0	4.51779249008501	0
5P_tRNA-Arg-ACG-1-1	0	4.31224001996388	11.1026586291343	0	0	15.4721686896286	0	5.96396623529933	11.9500092672503	0	0	0	7.23865556105255	6.57023109303749	6.0507454362995	6.44548540669205	9.2789584796884	12.0229453672448	6.87863339606215	6.82433374309446	0	5.53192111239347	7.11546193973144	0	5.67674600445607	5.92527054387858	4.81768782631636	5.03578141366379	6.39346472075426	0	0	5.14766910448229	6.85874638969144	0	4.01201964617332	0	5.80983676516216	0	0	4.37960113048283	0	9.48109007301218	7.74529605497969	5.07935572491309	6.05381034286533	0	2.82383737707661	0	5.19396597076141	10.5884994535649	10.626875428429	4.15035138968771	0	4.85304786772246	0	5.06728289869606	11.0225834083673	0	0
5P_tRNA-Arg-CCG-1-2	0	0	6.77538275849764	0	7.13551753167803	0	0	0	0	0	0	0	0	0	0	5.14817632009443	8.69515669236099	7.33114629405471	0	5.26461017598867	0	0	0	0	0	0	0	6.01362220174587	0	0	0	4.18780351567234	6.85874638969144	0	4.96660202473128	4.30973516880555	0	0	0	0	0	0	0	0	6.05381034286533	0	3.71818228871362	5.84614017433962	4.23284981887206	0	0	4.15035138968771	0	4.29283117424774	0	0	0	4.51779249008501	0
5P_tRNA-Arg-CCG-2-1	4.82121264224322	0	7.57708238587189	0	0	0	6.39204446212594	6.95236359001907	8.95255948602296	9.27312634563767	7.46050789801765	6.55920099626688	0	0	0	7.69883113807125	0	0	7.29060257066136	6.82433374309446	0	4.9624658404336	7.11546193973144	4.99675723287257	7.07404771534139	7.49431857097562	7.09809853694262	6.01362220174587	6.39346472075426	0	7.11479169724106	8.43249612023996	0	7.72945152274889	4.01201964617332	6.57225929291691	7.37755115016133	0	6.18204847047257	4.37960113048283	6.31611326204071	7.48713363978931	0	5.65002386973591	6.05381034286533	0	7.07435025551288	0	5.76573075878442	7.07474212986077	9.89051794613548	6.88633129742011	5.78837754987883	5.82787018992396	7.97676198951559	8.83411773908284	0	7.46160743817599	0
5P_tRNA-Arg-CCT-2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0507454362995	6.44548540669205	7.69863323996027	8.3266596176968	6.29978803667852	0	0	0	7.11546193973144	4.99675723287257	6.08471533100418	0	4.81768782631636	7.58362051977582	0	0	0	5.71900146253311	0	0	4.01201964617332	5.84536577980822	0	0	0	0	0	6.90618616425955	6.17371866225589	5.07935572491309	0	0	4.26613405980777	0	5.19396597076141	9.23631924832215	9.30631522497409	6.40577424719226	0	5.82787018992396	0	0	8.21938349572635	0	0
5P_tRNA-Arg-CCT-4-1	0	4.31224001996388	6.36472854638919	0	0	0	0	0	0	0	0	6.55920099626688	0	0	0	5.14817632009443	0	0	0	0	0	0	0	0	0	5.92527054387858	0	6.59112201281005	0	0	0	0	0	0	4.96660202473128	4.30973516880555	0	0	0	0	5.33410710117128	0	0	4.12140816584521	0	0	0	0	0	7.65613287951814	0	4.15035138968771	0	4.29283117424774	0	5.06728289869606	0	4.51779249008501	0
5P_tRNA-Arg-TCG-2-1	0	5.27546487428144	5.78849286845042	7.29199698403476	0	0	0	5.96396623529933	8.95255948602296	0	0	6.55920099626688	0	0	0	4.18829681786447	0	0	0	0	0	0	0	0	5.10581680291084	0	0	5.03578141366379	0	0	0	0	0	4.00786891984203	0	0	0	0	0	0	0	0	0	4.12140816584521	0	0	0	6.83354583910078	0	0	0	0	0	4.29283117424774	0	0	0	0	0
