RXF393	ACHN	UO-31	NCI-H226	NCI-H322M	UACC-257	SK-MEL-2	A549	UACC-62	HOP 92	EKVX	NCI-H23	HOP 62	HCC2998	HCT-15	COLO 205	SNB-19	SW-620	KM12	HT-29	HCT-116	TK-10	SN12C	HL-60(TB)	CCRF-CEM	786-0	CAKI-1	A498	PC-3	SK-MEL-28	SK-MEL-5	RPMI 8226	SR	K-562	MOLT-4	M14	MDA-MB-435	MALME-3M	LOX-IMVI	SK-OV-3	DU-145	NCI-H460	NCI-H522	IGR-OV1	NCI/ADR-RES	OVCAR-3	OVCAR-8	OVCAR-4	OVCAR-5	SNB-75	U251	HS-578T	BT-549	MDA-MB-231	MCF-7	SF-539	T-47D	SF-268	SF-295
5P_tRNA-Ala-AGC-1-1	5.03695177509598	4.52046017369554	0	0	0	0	0	0	8.14890517070181	0	0	0	6.37179380058517	0	0	5.32901250953341	0	0	0	5.47597805369144	7.45151477905579	0	0	0	4.22499087831266	0	5.07233696139624	5.25482745416626	0	0	6.63382391995025	5.4188702324991	8.1040039756397	5.17874726209729	0	4.53033616489921	0	0	0	4.57811043056788	0	0	0	5.26967271959841	0	0	4.50575356268803	7.63448360226737	0	7.18437817176429	8.53589591408849	5.29094464789912	0	3.55941039804023	7.24340051059917	5.24539634012247	0	0	0
5P_tRNA-Ala-AGC-10-1	5.03695177509598	0	6.03581763109874	0	7.34234729775972	0	0	0	8.14890517070181	0	7.69760680023886	6.86381083939294	0	0	0	5.32901250953341	7.8825648716753	8.56333686469879	5.47545728299078	0	0	3.96455184776292	0	0	0	0	5.07233696139624	0	0	0	0	0	7.10923802983866	0	5.06113189702456	0	0	0	6.35747868176145	0	0	0	0	0	0	0	0	6.06396949150399	5.36643797063507	6.19426307751877	0	0	0	3.55941039804023	7.24340051059917	0	0	0	0
5P_tRNA-Ala-AGC-11-1	0	4.52046017369554	5.05764108501502	0	7.34234729775972	0	0	7.23418355862606	8.14890517070181	0	0	6.86381083939294	0	5.79445991364441	0	0	0	7.56714559203522	0	0	0	4.91759004067701	7.37728671045322	0	0	0	0	5.25482745416626	0	0	0	0	0	0	5.63161741850689	0	0	0	0	0	0	0	0	0	0	0	3.04251808469122	0	0	6.19426307751877	0	0	0	4.49688856009548	7.24340051059917	0	0	0	0
5P_tRNA-Ala-AGC-12-3	0	4.52046017369554	6.03581763109874	0	0	0	0	0	0	6.44013337636448	0	0	0	0	0	0	0	0	0	5.47597805369144	0	0	0	0	4.22499087831266	0	5.07233696139624	0	0	0	0	0	0	0	4.10371109298139	0	0	0	0	0	5.57857409814757	0	0	4.30659393045266	0	0	3.04251808469122	6.06396949150399	4.40099245298256	0	0	0	0	0	0	0	0	0	0
5P_tRNA-Ala-AGC-2-2	0	4.52046017369554	0	0	0	0	0	0	0	0	0	6.86381083939294	0	0	0	0	0	0	0	0	0	0	0	0	5.18589173206049	0	6.05073634572099	0	5.67588303692725	0	0	0	0	0	4.10371109298139	0	0	0	0	0	0	0	6.36860958559019	0	0	0	3.04251808469122	6.06396949150399	0	6.19426307751877	0	4.32733222238469	0	3.55941039804023	0	0	0	0	0
5P_tRNA-Ala-AGC-3-1	0	6.47252697787014	5.05764108501502	7.54886163885367	0	0	0	0	0	0	9.69238511167117	0	7.94509529058829	0	0	7.30184019636953	7.8825648716753	0	6.45915233231274	5.47597805369144	7.45151477905579	4.91759004067701	0	0	5.75758210846613	6.13616756143103	7.03981353477252	8.02942659424306	0	5.35886646720255	0	5.4188702324991	0	0	4.10371109298139	0	6.03076628209002	12.922902544282	6.35747868176145	0	7.14326853710243	0	0	5.26967271959841	0	0	4.90482682323028	0	6.34884533088645	8.76271290679946	0	7.43191974497277	6.89292602471799	3.55941039804023	0	0	0	0	0
5P_tRNA-Ala-AGC-5-1	0	0	0	0	7.34234729775972	0	0	0	0	0	0	0	0	0	6.22907288633415	0	8.87950490593938	9.56142872372977	0	0	0	4.91759004067701	7.37728671045322	0	4.22499087831266	0	0	6.23581040785813	0	0	0	0	7.10923802983866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.36643797063507	7.18437817176429	10.5329777194826	4.32733222238469	0	0	0	5.24539634012247	9.04541527506536	0	0
5P_tRNA-Ala-CGC-4-1	6.01481067076028	5.48868230967008	9.40810147433493	0	0	0	0	0	9.14636149078668	0	0	6.86381083939294	0	5.79445991364441	7.21942442216148	5.90196156369748	9.46344597411209	7.56714559203522	6.45915233231274	0	7.45151477905579	5.48655264485963	7.37728671045322	6.69561442131029	6.48384138613396	0	7.03981353477252	8.67949398525439	0	5.35886646720255	0	5.99254755862733	9.42278249897435	5.75037144416255	7.0283519825496	4.53033616489921	6.03076628209002	0	0	0	5.57857409814757	7.1535767136812	0	7.24134820107532	6.32508836671681	5.8647931792263	3.95219915741219	0	5.93969591369138	8.98463074915447	10.8547110580271	6.27240080945517	0	6.0386119437437	0	0	9.04541527506536	0	0
5P_tRNA-Ala-TGC-3-1	5.03695177509598	4.52046017369554	6.03581763109874	7.54886163885367	7.34234729775972	0	0	0	0	6.44013337636448	0	0	6.37179380058517	0	6.22907288633415	6.31095461636534	7.8825648716753	0	7.45093022943055	0	0	0	0	6.69561442131029	5.75758210846613	0	6.05073634572099	0	0	0	0	5.4188702324991	7.10923802983866	7.31735549660761	5.63161741850689	4.53033616489921	0	0	6.35747868176145	0	0	0	0	0	0	0	0	6.06396949150399	5.93969591369138	7.76603059564772	0	4.32733222238469	5.90501463176071	0	8.82200151024271	0	0	0	5.1859387341114
5P_tRNA-Ala-TGC-3-2	5.03695177509598	0	0	0	0	0	0	0	0	6.44013337636448	0	0	0	0	0	0	0	0	0	0	0	0	0	5.13822384988898	0	0	0	0	0	0	0	0	0	4.21803789478062	0	4.53033616489921	0	0	0	0	0	6.16367418584061	0	0	0	0	0	0	0	7.18437817176429	0	4.32733222238469	0	4.49688856009548	7.24340051059917	0	0	4.77748974240264	0
5P_tRNA-Arg-ACG-1-1	0	4.52046017369554	11.3540602278185	0	0	15.6904678033754	0	6.24373414406927	12.1441320859052	0	0	0	7.36305689071724	6.78140416124274	6.22907288633415	6.62924385012297	9.46344597411209	12.260251887495	7.03863864093938	7.03916733219487	0	5.48655264485963	7.37728671045322	0	5.75758210846613	6.13616756143103	5.07233696139624	5.25482745416626	6.66170337091373	0	0	5.4188702324991	7.10923802983866	0	4.10371109298139	0	6.03076628209002	0	0	4.57811043056788	0	9.73007033016734	7.94188520516421	5.26967271959841	6.32508836671681	0	3.04251808469122	0	5.36643797063507	10.6988552443439	10.8547110580271	4.32733222238469	0	5.06039348655446	0	5.24539634012247	11.2656607511256	0	0
5P_tRNA-Arg-CCG-1-2	0	0	7.02478084742097	0	7.34234729775972	0	0	0	0	0	0	0	0	0	0	5.32901250953341	8.87950490593938	7.56714559203522	0	5.47597805369144	0	0	0	0	0	0	0	6.23581040785813	0	0	0	4.45220557534419	7.10923802983866	0	5.06113189702456	4.53033616489921	0	0	0	0	0	0	0	0	6.32508836671681	0	3.95219915741219	6.06396949150399	4.40099245298256	0	0	4.32733222238469	0	4.49688856009548	0	0	0	4.77748974240264	0
