row	col	cor	name	id	position
hsa-miR-409-3p	tRFdb-1030	-0.500567354729318	hsa-mir-409	MI0001735	chr14:101531684-101531705
hsa-miR-379	tRFdb-3029a	-0.502095306087363	hsa-mir-379	MI0000787	chr14:101488409-101488429
hsa-miR-335*	ts-65	-0.503444778041241	hsa-mir-335	MI0000816	chr7:130135968-130135990
hsa-miR-376b	ts-95	-0.503623138748446	hsa-mir-376b	MI0002466	chr14:101506835-101506856
hsa-miR-337-5p	tRFdb-3029a	-0.505563776454862	hsa-mir-337	MI0000806	chr14:101340853-101340912
hsa-miR-543	ts-43	-0.508276569172806	hsa-mir-543	MI0005565	chr14:101498371-101498392
hsa-miR-654-3p	tRFdb-1030	-0.509920264757215	hsa-mir-654	MI0003676	chr14:101506607-101506628
hsa-miR-376b	tRFdb-3004a	-0.510270546796106	hsa-mir-376b	MI0002466	chr14:101506835-101506856
hsa-miR-376c	tRFdb-3029a	-0.511211198867959	hsa-mir-376c	MI0000776	chr14:101506070-101506090
hsa-miR-495	ts-47	-0.511679757168377	hsa-mir-495	MI0003135	chr14:101500142-101500163
hsa-miR-127-3p	tRFdb-3004a	-0.5145702355388	hsa-mir-127	MI0000472	chr14:101349373-101349394
hsa-miR-376b	tRFdb-3029a	-0.515103800694241	hsa-mir-376b	MI0002466	chr14:101506835-101506856
hsa-miR-543	ts-95	-0.517623862384559	hsa-mir-543	MI0005565	chr14:101498371-101498392
hsa-miR-154*	tRFdb-1030	-0.517653256189056	hsa-mir-154	MI0000480	chr14:101526107-101526128
hsa-miR-493*	tRFdb-1030	-0.518905545288927	hsa-mir-493	MI0003132	chr14:101335413-101335434
hsa-miR-543	tRFdb-3029a	-0.519588876343937	hsa-mir-543	MI0005565	chr14:101498371-101498392
hsa-miR-335*	tRFdb-3021b	-0.519910313026198	hsa-mir-335	MI0000816	chr7:130135968-130135990
hsa-miR-495	ts-95	-0.521737493532507	hsa-mir-495	MI0003135	chr14:101500142-101500163
hsa-miR-329	ts-47	-0.521847183613811	hsa-mir-329-1	MI0001725	chr14:101493172-101493193
hsa-miR-329(2)	ts-47	-0.521847183613811	hsa-mir-329-2	MI0001726	chr14:101493489-101493510
hsa-miR-543	tRFdb-3004a	-0.522595824512984	hsa-mir-543	MI0005565	chr14:101498371-101498392
hsa-miR-376b	ts-47	-0.523055082433163	hsa-mir-376b	MI0002466	chr14:101506835-101506856
hsa-miR-127-3p	tRFdb-1030	-0.526290657522379	hsa-mir-127	MI0000472	chr14:101349373-101349394
hsa-miR-495	tRFdb-3004a	-0.528370237645776	hsa-mir-495	MI0003135	chr14:101500142-101500163
hsa-miR-431	tRFdb-1030	-0.528942354090868	hsa-mir-431	MI0001721	chr14:101347364-101347384
hsa-miR-493*	tRFdb-3029a	-0.529283784611187	hsa-mir-493	MI0003132	chr14:101335413-101335434
hsa-miR-376a	tRFdb-3029a	-0.530435123997686	hsa-mir-376a-2	MI0003529	chr14:101506456-101506476
hsa-miR-376a(2)	tRFdb-3029a	-0.530435123997686	hsa-mir-376a-1	MI0000784	chr14:101507163-101507183
hsa-miR-377	tRFdb-3029a	-0.537378901008445	hsa-mir-377	MI0000785	chr14:101528432-101528453
hsa-miR-543	ts-47	-0.538321157747797	hsa-mir-543	MI0005565	chr14:101498371-101498392
hsa-miR-431	tRFdb-3029a	-0.541418652455817	hsa-mir-431	MI0001721	chr14:101347364-101347384
hsa-miR-154*	tRFdb-3029a	-0.541440379548312	hsa-mir-154	MI0000480	chr14:101526107-101526128
hsa-miR-654-3p	tRFdb-3029a	-0.546251566144624	hsa-mir-654	MI0003676	chr14:101506607-101506628
hsa-miR-495	tRFdb-3029a	-0.548860901816812	hsa-mir-495	MI0003135	chr14:101500142-101500163
hsa-miR-335*	ts-58	-0.549343724019789	hsa-mir-335	MI0000816	chr7:130135968-130135990
hsa-miR-329	tRFdb-1030	-0.552511599091585	hsa-mir-329-1	MI0001725	chr14:101493172-101493193
hsa-miR-329(2)	tRFdb-1030	-0.552511599091585	hsa-mir-329-2	MI0001726	chr14:101493489-101493510
hsa-miR-495	tRFdb-1030	-0.555992441422695	hsa-mir-495	MI0003135	chr14:101500142-101500163
hsa-miR-376b	tRFdb-1030	-0.55898988956984	hsa-mir-376b	MI0002466	chr14:101506835-101506856
hsa-miR-409-3p	tRFdb-3029a	-0.560178990464611	hsa-mir-409	MI0001735	chr14:101531684-101531705
hsa-miR-127-3p	tRFdb-3029a	-0.561052126337748	hsa-mir-127	MI0000472	chr14:101349373-101349394
hsa-miR-543	tRFdb-1030	-0.570151834082177	hsa-mir-543	MI0005565	chr14:101498371-101498392
