row	col	cor	name	id	position
mir-517b	5P_tRNA-Thr-AGT-5-1	0.602777212819288	hsa-mir-517a	MI0003161	chr19:54215576-54215597
mir-125a-precNo2	tRFdb-3006b	0.559679892830843	hsa-mir-125a	MI0000469	chr19:52196522-52196581
mir-125a-precNo2	ts-50	0.552704335274606	hsa-mir-125a	MI0000469	chr19:52196522-52196581
mir-125a-precNo2	tRFdb-5026c	0.547963294789895	hsa-mir-125a	MI0000469	chr19:52196522-52196581
mir-125a-precNo2	tRFdb-5026b	0.538253556443868	hsa-mir-125a	MI0000469	chr19:52196522-52196581
mir-133bNo2	tRFdb-3006b	0.531488122219426	mir-133bNo1	MI0000822	chrUn:-1--1
mir-302dNo2	5P_tRNA-Thr-CGT-1-1	0.525600958421456	mir-302dNo1	MI0000774	chrUn:-1--1
mir-380-3p	5P_tRNA-Ser-AGA-2-1	0.522255643457383	mir-380-3p	MI0000788	chrUn:-1--1
mir-125a-precNo2	ts-36	0.51061174981301	hsa-mir-125a	MI0000469	chr19:52196522-52196581
mir-125a-precNo2	ts-105	0.504021623709958	hsa-mir-125a	MI0000469	chr19:52196522-52196581
mir-125a-precNo2	tRFdb-1036	0.501881224995547	hsa-mir-125a	MI0000469	chr19:52196522-52196581
mir-377No1	ts-76	-0.500132629665601	hsa-mir-377	MI0000785	chr14:101528432-101528453
mir-21No2	tRFdb-1040	-0.500492455888953	hsa-mir-21	MI0000077	chr17:57918635-57918656
mir-493No2	ts-43	-0.502871177753867	hsa-mir-493	MI0003132	chr14:101335413-101335434
mir-409-3p	tRFdb-3022a	-0.510593907390773	hsa-mir-409	MI0001735	chr14:101531684-101531705
mir-154-prec1No2	ts-76	-0.514795117981471	hsa-mir-154	MI0000480	chr14:101526107-101526128
mir-4325p	tRFdb-3022a	-0.518200708016164	hsa-mir-432	MI0003133	chr14:101350834-101350856
mir-4325p	ts-81	-0.518498886103553	hsa-mir-432	MI0003133	chr14:101350834-101350856
mir-181dNo2	ts-46	-0.519916406810626	hsa-mir-181d	MI0003139	chr19:13985725-13985747
mir-380-3p	ts-81	-0.521703786633803	mir-380-3p	MI0000788	chrUn:-1--1
mir-516-1No2	ts-46	-0.523955083816648	hsa-mir-516a-1	MI0003180	chr19:54260011-54260033
mir-339No1	5P_tRNA-Trp-CCA-3-3	-0.52770615006851	hsa-mir-339	MI0000815	chr7:1062590-1062612
miR-302b*No1	tRFdb-3029a	-0.529597968851658	miR-302b*No1	MI0000772	chrUn:-1--1
mir-485-3p	5P_tRNA-Trp-CCA-3-3	-0.52985340763676	mir-485-3p	MI0002469	chrUn:-1--1
mir-380-3p	tRFdb-1041	-0.530918410081117	mir-380-3p	MI0000788	chrUn:-1--1
mir-130a-precNo1	tRFdb-3022b	-0.531449831198397	hsa-mir-130a	MI0000448	chr11:57408726-57408747
mir-125a-precNo2	ts-59	-0.53192609222705	hsa-mir-125a	MI0000469	chr19:52196522-52196581
mir-380-3p	tRFdb-1030	-0.537707358012949	mir-380-3p	MI0000788	chrUn:-1--1
mir-409-3p	tRFdb-3029a	-0.539997238356234	hsa-mir-409	MI0001735	chr14:101531684-101531705
mir-337No2	tRFdb-3029a	-0.540161491755625	hsa-mir-337	MI0000806	chr14:101340853-101340912
mir-431No1	tRFdb-3033a	-0.541240478287038	hsa-mir-431	MI0001721	chr14:101347364-101347384
mir-125a-precNo2	5P_tRNA-Leu-CAG-1-7	-0.542648440280864	hsa-mir-125a	MI0000469	chr19:52196522-52196581
mir-218-2-precNo1	ts-69	-0.543399231870437	hsa-mir-218-2	MI0000295	chr5:168195215-168195235
mir-493No1	tRFdb-1041	-0.544055769074647	hsa-mir-493	MI0003132	chr14:101335413-101335434
mir-130a-precNo1	tRFdb-3019b	-0.547282190883251	hsa-mir-130a	MI0000448	chr11:57408726-57408747
mir-431No1	tRFdb-3029a	-0.547995796259314	hsa-mir-431	MI0001721	chr14:101347364-101347384
mir-493No1	tRFdb-3022a	-0.551620270086626	hsa-mir-493	MI0003132	chr14:101335413-101335434
mir-154-prec1No2	tRFdb-3029a	-0.552005205528394	hsa-mir-154	MI0000480	chr14:101526107-101526128
mir-130a-precNo1	tRFdb-3019a	-0.565012432184892	hsa-mir-130a	MI0000448	chr11:57408726-57408747
mir-519a-1/526c	ts-46	-0.57536168740635	hsa-mir-519a-1	MI0003178	chr19:54255704-54255725
mir-519a-1/526c	5P_tRNA-His-GTG-1-9	-0.590635582268112	hsa-mir-519a-1	MI0003178	chr19:54255704-54255725
mir-510No1	ts-18	-0.593798947274657	hsa-mir-510	MI0003197	chrX:146353895-146353916
mir-380-3p	tRFdb-3029a	-0.595246882871102	mir-380-3p	MI0000788	chrUn:-1--1
mir-495No1	tRFdb-3029a	-0.599755962655543	hsa-mir-495	MI0003135	chr14:101500142-101500163
mir-431No1	tRFdb-3022a	-0.608749091856634	hsa-mir-431	MI0001721	chr14:101347364-101347384
mir-493No1	tRFdb-3029a	-0.609845717219182	hsa-mir-493	MI0003132	chr14:101335413-101335434
mir-368No1	tRFdb-3029a	-0.615741908153934	hsa-mir-376c	MI0000776	chr14:101506070-101506090
mir-4325p	tRFdb-3029a	-0.633130975868144	hsa-mir-432	MI0003133	chr14:101350834-101350856
mir-520bNo2	ts-46	-0.646191629145922	hsa-mir-519a-2	MI0003182	chr19:54265652-54265673
