row	col	cor	name	id	position
VN1R3	ts-109	0.822177721390701	VN1R3	VN1R3	NA
OSCP1	tRFdb-3030b	0.820182392309439	OSCP1	OSCP1	NA
TTC17	tRFdb-3030b	0.81362351749867	TTC17	TTC17	NA
KLF15	tRFdb-3030b	0.808542321075145	KLF15	KLF15	NA
RHOT1	tRFdb-3030b	0.808035038936955	RHOT1	RHOT1	NA
JUN	tRFdb-3030b	0.8063097449119	JUN	JUN	NA
VN1R3	tRFdb-3012b	0.805466037192535	VN1R3	VN1R3	NA
VN1R3	tRFdb-3008b	0.801949590067542	VN1R3	VN1R3	NA
MRPL43	tRFdb-3030b	0.801297350528056	MRPL43	MRPL43	NA
TVP23CP2	tRFdb-3012b	0.800593763198461	TVP23CP2	TVP23CP2	NA
SEMA4G	tRFdb-3030b	0.800504560276668	SEMA4G	SEMA4G	NA
GLI2	tRFdb-3030b	0.797900854674759	GLI2	GLI2	NA
RPL7P23	tRFdb-3012b	0.797405077092537	RPL7P23	RPL7P23	NA
AFF4	tRFdb-3020a	0.797326909408266	AFF4	AFF4	NA
ERBB4	tRFdb-3020a	0.79549648558917	ERBB4	ERBB4	NA
MAP3K15	tRFdb-3030b	0.794544834071173	MAP3K15	MAP3K15	NA
VN1R3	ts-9	0.794503540282463	VN1R3	VN1R3	NA
EPS15	tRFdb-3030b	0.794131976475183	EPS15	EPS15	NA
MDGA2	tRFdb-3020a	0.79333593858166	MDGA2	MDGA2	NA
NPHP4	tRFdb-3020a	0.793162749809962	NPHP4	NPHP4	NA
ZNF365	tRFdb-3030b	0.792461263179244	ZNF365	ZNF365	NA
VN1R3	tRFdb-3012a	0.791672639752149	VN1R3	VN1R3	NA
BMP5	tRFdb-3020a	0.791661970007202	BMP5	BMP5	NA
HSD11B2	tRFdb-3030b	0.791464750311442	HSD11B2	HSD11B2	NA
HMGN2P19	tRFdb-3012b	0.791431740458561	HMGN2P19	HMGN2P19	NA
MIR3180-4	tRFdb-3012b	0.791431740458561	MIR3180-4	MIR3180-4	NA
MIR583	tRFdb-3012b	0.791431740458561	MIR583	MIR583	NA
MRP63P6	tRFdb-3012b	0.791431740458561	MRP63P6	MRP63P6	NA
OR2T7	tRFdb-3012b	0.791431740458561	OR2T7	OR2T7	NA
PABPC1P13	tRFdb-3012b	0.791431740458561	PABPC1P13	PABPC1P13	NA
RARRES2P5	tRFdb-3012b	0.791431740458561	RARRES2P5	RARRES2P5	NA
RNA5SP320	tRFdb-3012b	0.791431740458561	RNA5SP320	RNA5SP320	NA
RNU6-712P	tRFdb-3012b	0.791431740458561	RNU6-712P	RNU6-712P	NA
RNU6-72P	tRFdb-3012b	0.791431740458561	RNU6-72P	RNU6-72P	NA
RPL23P10	tRFdb-3012b	0.791431740458561	RPL23P10	RPL23P10	NA
UBE2CP2	tRFdb-3012b	0.791431740458561	UBE2CP2	UBE2CP2	NA
VAV3	tRFdb-3020a	0.790702276453241	VAV3	VAV3	NA
XRRA1	tRFdb-3020a	0.790660532654041	XRRA1	XRRA1	NA
HHIP	tRFdb-3020a	0.789762437888658	HHIP	HHIP	NA
CBL	tRFdb-3020a	0.789612743612218	CBL	CBL	NA
SON	tRFdb-3030b	0.78955199269032	SON	SON	NA
SLC5A12	tRFdb-3030b	0.788843266972215	SLC5A12	SLC5A12	NA
YTHDF2	tRFdb-3030b	0.788803841997625	YTHDF2	YTHDF2	NA
DPAGT1	tRFdb-3008b	0.788026667524088	DPAGT1	DPAGT1	NA
C17orf49	tRFdb-3020a	0.787714818911786	C17orf49	C17orf49	NA
TVP23CP2	tRFdb-3008b	0.787381412466218	TVP23CP2	TVP23CP2	NA
INADL	tRFdb-3030b	0.787183233373281	INADL	INADL	NA
CYTH3	tRFdb-3030b	0.787141393893445	CYTH3	CYTH3	NA
IRF2	tRFdb-3030b	0.786954978211421	IRF2	IRF2	NA
POLI	tRFdb-3020a	0.786480140586259	POLI	POLI	NA
CLASRP	tRFdb-3030b	0.786375851032824	CLASRP	CLASRP	NA
REPS2	tRFdb-3030b	0.78600672805442	REPS2	REPS2	NA
PDE4D	tRFdb-3020a	0.785926427225522	PDE4D	PDE4D	NA
ADRB1	tRFdb-3030b	0.785597615261249	ADRB1	ADRB1	NA
MIR497HG	tRFdb-3020a	0.78532840436726	MIR497HG	MIR497HG	NA
ANP32A	tRFdb-3030b	0.78526544033653	ANP32A	ANP32A	NA
RPL7P23	tRFdb-3008b	0.785207556886493	RPL7P23	RPL7P23	NA
NUP62CL	tRFdb-3030b	0.784904546656728	NUP62CL	NUP62CL	NA
CES2	tRFdb-3020a	0.784555590902316	CES2	CES2	NA
C17orf85	tRFdb-3030b	0.7844640761846	C17orf85	C17orf85	NA
SYNPR	tRFdb-3020a	0.784042814959667	SYNPR	SYNPR	NA
CAPN3	tRFdb-3030b	0.783856585820497	CAPN3	CAPN3	NA
PMS1	tRFdb-3030b	0.78368369351936	PMS1	PMS1	NA
KCNH7	tRFdb-3020a	0.783638172366727	KCNH7	KCNH7	NA
LDLR	tRFdb-3030b	0.783400034355234	LDLR	LDLR	NA
SLMO2	tRFdb-3020a	0.783062295550858	SLMO2	SLMO2	NA
CYP4Z2P	tRFdb-3030b	0.78303706965065	CYP4Z2P	CYP4Z2P	NA
DNAH7	tRFdb-3030b	0.782648749063157	DNAH7	DNAH7	NA
JUP	tRFdb-3030b	0.78249290606666	JUP	JUP	NA
ZNF230	tRFdb-3030b	0.782335434556669	ZNF230	ZNF230	NA
SERPINB4	tRFdb-3030b	0.782267639555278	SERPINB4	SERPINB4	NA
FAM212B	tRFdb-3020a	0.781786151834445	FAM212B	FAM212B	NA
WIBG	tRFdb-3020a	0.781728815327847	WIBG	WIBG	NA
MIR4482-1	tRFdb-3030b	0.781590878658606	MIR4482-1	MIR4482-1	NA
GSTO2	tRFdb-3030b	0.781579126064834	GSTO2	GSTO2	NA
RASA1	tRFdb-3020a	0.781565808421185	RASA1	RASA1	NA
ARID2	tRFdb-3020a	0.781520167686712	ARID2	ARID2	NA
NR3C1	tRFdb-3030b	0.781496764415808	NR3C1	NR3C1	NA
NBPF23	tRFdb-3030b	0.780566738412132	NBPF23	NBPF23	NA
C3orf67	tRFdb-3030b	0.780415526427837	C3orf67	C3orf67	NA
BPTF	tRFdb-3030b	0.780176964699052	BPTF	BPTF	NA
GULP1	tRFdb-3020a	0.779983314867411	GULP1	GULP1	NA
DOCK1	tRFdb-3030b	0.779750343707761	DOCK1	DOCK1	NA
TTC31	tRFdb-3020a	0.779732262783132	TTC31	TTC31	NA
HPRT1	tRFdb-3030b	0.779605471348042	HPRT1	HPRT1	NA
OTX1	tRFdb-3030b	0.779535092507223	OTX1	OTX1	NA
FGF8	tRFdb-3030b	0.779495382631686	FGF8	FGF8	NA
FKBP10	tRFdb-3030b	0.779378319454802	FKBP10	FKBP10	NA
ODF2	tRFdb-3030b	0.779122964825423	ODF2	ODF2	NA
TVP23CP2	tRFdb-3012a	0.779038736831334	TVP23CP2	TVP23CP2	NA
TMEM88	tRFdb-3030b	0.779000492496361	TMEM88	TMEM88	NA
FAM179B	tRFdb-3030b	0.778909891424372	FAM179B	FAM179B	NA
CCDC24	tRFdb-3030b	0.778560785471473	CCDC24	CCDC24	NA
PRKAG1	tRFdb-3030b	0.778377922180018	PRKAG1	PRKAG1	NA
ALOX5	tRFdb-3030b	0.778286248316148	ALOX5	ALOX5	NA
CDC42	tRFdb-3030b	0.778231789150031	CDC42	CDC42	NA
OXSR1	tRFdb-3030b	0.778218882351596	OXSR1	OXSR1	NA
SPATA6	tRFdb-3020a	0.778162968318482	SPATA6	SPATA6	NA
EFHC2	tRFdb-3030b	0.777594702216766	EFHC2	EFHC2	NA
TMEM110-MUSTN1	tRFdb-3030b	0.777511327079942	TMEM110-MUSTN1	TMEM110-MUSTN1	NA
RNF220	tRFdb-3030b	0.777367746449622	RNF220	RNF220	NA
IKZF3	tRFdb-3030b	0.777305394824835	IKZF3	IKZF3	NA
MKL1	tRFdb-3030b	0.777276131226528	MKL1	MKL1	NA
CIRH1A	tRFdb-3030b	0.777247608480134	CIRH1A	CIRH1A	NA
GOPC	tRFdb-3030b	0.777222062376597	GOPC	GOPC	NA
MATR3	tRFdb-3030b	0.777145568612186	MATR3	MATR3	NA
RANBP10	tRFdb-3030b	0.776968496067972	RANBP10	RANBP10	NA
PRKG1	tRFdb-3030b	0.776921105600043	PRKG1	PRKG1	NA
TAF3	tRFdb-3030b	0.776786452635804	TAF3	TAF3	NA
TP73-AS1	tRFdb-3030b	0.776783801863196	TP73-AS1	TP73-AS1	NA
YIPF6	tRFdb-3030b	0.776676756596365	YIPF6	YIPF6	NA
MROH2A	tRFdb-3020a	0.776664322140197	MROH2A	MROH2A	NA
SERPINB11	tRFdb-3030b	0.776626070060202	SERPINB11	SERPINB11	NA
VN1R3	ts-52	0.776391822814371	VN1R3	VN1R3	NA
FTH1P16	tRFdb-3030b	0.776260114736511	FTH1P16	FTH1P16	NA
KIF9	tRFdb-3030b	0.776196663495826	KIF9	KIF9	NA
CDC42-IT1	tRFdb-3030b	0.776158858887966	CDC42-IT1	CDC42-IT1	NA
CLIP1	tRFdb-3030b	0.776052224259334	CLIP1	CLIP1	NA
STX18-IT1	ts-109	0.775342285792159	STX18-IT1	STX18-IT1	NA
SPAG5-AS1	tRFdb-3030b	0.775316991337425	SPAG5-AS1	SPAG5-AS1	NA
RNU6-631P	ts-109	0.775159658425473	RNU6-631P	RNU6-631P	NA
HDAC8	tRFdb-3030b	0.775153247686011	HDAC8	HDAC8	NA
FNBP4	tRFdb-3030b	0.774927691966867	FNBP4	FNBP4	NA
BRCA1	tRFdb-3030b	0.774636018120006	BRCA1	BRCA1	NA
PPA2	tRFdb-3030b	0.77418597876338	PPA2	PPA2	NA
VN1R3	ts-36	0.773975573972153	VN1R3	VN1R3	NA
USP54	tRFdb-3030b	0.773333544478975	USP54	USP54	NA
ROCK2	tRFdb-3020a	0.773193742595646	ROCK2	ROCK2	NA
NDUFB3	tRFdb-3030b	0.773012773650464	NDUFB3	NDUFB3	NA
POLA1	tRFdb-3030b	0.772828598151272	POLA1	POLA1	NA
STX18-IT1	tRFdb-3008b	0.772686005231948	STX18-IT1	STX18-IT1	NA
ATM	tRFdb-3020a	0.772527771316831	ATM	ATM	NA
C1QTNF1-AS1	tRFdb-3030b	0.772318364000921	C1QTNF1-AS1	C1QTNF1-AS1	NA
LANCL3	tRFdb-3030b	0.772278231487628	LANCL3	LANCL3	NA
DSCAM	tRFdb-3020a	0.772242933751509	DSCAM	DSCAM	NA
RPL7P23	tRFdb-3012a	0.77223488144278	RPL7P23	RPL7P23	NA
RAB3C	tRFdb-3020a	0.772184581746452	RAB3C	RAB3C	NA
VN1R3	tRFdb-1036	0.772081217784185	VN1R3	VN1R3	NA
CYP17A1-AS1	tRFdb-3030b	0.771970943158864	CYP17A1-AS1	CYP17A1-AS1	NA
UBE2V1	tRFdb-3020a	0.77184441813473	UBE2V1	UBE2V1	NA
SAP25	tRFdb-3030b	0.771834274043781	SAP25	SAP25	NA
MTCH2	tRFdb-3030b	0.771808518353283	MTCH2	MTCH2	NA
TLK1	tRFdb-3020a	0.771765835887283	TLK1	TLK1	NA
TBC1D22A	tRFdb-3030b	0.771477450070334	TBC1D22A	TBC1D22A	NA
LRIG3	tRFdb-3030b	0.771435835337935	LRIG3	LRIG3	NA
LRIT3	tRFdb-3020a	0.771435064834644	LRIT3	LRIT3	NA
NPM3	tRFdb-3030b	0.771392591070303	NPM3	NPM3	NA
SLAIN1	tRFdb-3020a	0.771265582499832	SLAIN1	SLAIN1	NA
CTNNA3	tRFdb-3030b	0.771206919922921	CTNNA3	CTNNA3	NA
THRAP3	tRFdb-3030b	0.771146934095756	THRAP3	THRAP3	NA
PTDSS2	tRFdb-3030b	0.771069539801069	PTDSS2	PTDSS2	NA
RAG2	tRFdb-3030b	0.770988826854727	RAG2	RAG2	NA
OPCML	tRFdb-3020a	0.770925344638201	OPCML	OPCML	NA
PPM1D	tRFdb-3030b	0.770906808327811	PPM1D	PPM1D	NA
GSTP1P1	tRFdb-3020a	0.770759599196879	GSTP1P1	GSTP1P1	NA
SLC9A3R1	tRFdb-3020a	0.770672238358594	SLC9A3R1	SLC9A3R1	NA
CYP2J2	tRFdb-3030b	0.770648864416802	CYP2J2	CYP2J2	NA
SNN	tRFdb-3030b	0.770518876380952	SNN	SNN	NA
ZRANB3	tRFdb-3030b	0.770469914479164	ZRANB3	ZRANB3	NA
SPATA13	tRFdb-3030b	0.770255112892391	SPATA13	SPATA13	NA
WDR96	tRFdb-3030b	0.770240954667306	WDR96	WDR96	NA
ESYT1	tRFdb-3030b	0.770050856929271	ESYT1	ESYT1	NA
RNF128	tRFdb-3020a	0.770024171354762	RNF128	RNF128	NA
HIVEP3	tRFdb-3020a	0.769965260559154	HIVEP3	HIVEP3	NA
SLC29A2	tRFdb-3030b	0.769903846198167	SLC29A2	SLC29A2	NA
SAMD4B	tRFdb-3030b	0.769876258061838	SAMD4B	SAMD4B	NA
TDP2	tRFdb-3020a	0.769872765709138	TDP2	TDP2	NA
